Pure,Equlibration pH,Elution Conductivity,Sample Volume,serotype,from,resin,Elution pH,Wash pH,Elution Conductivity,Wash Conductivity,Sample Flowrate Elution (CV/h),System Flowrate Elution (CV/h)
0.0,7.0,2.5,20.0,AAV2,ELU,AAVA3,1.0,5.310947864341144,45.32733534511394,38.51973819618628,15.0,8.041073011597831
0.0,7.0,2.5,5.0,AAV2,ELU,AAVA3,1.0164131869226078,6.605129711999035,38.70463695579849,42.28429183049026,3.379951457074024,8.974904333709345
0.0,7.0,2.5,30.0,AAV2,ELU,AAVA3,15.0,6.76311615320174,26.400468199392673,40.62314751177773,15.0,8.603499450281866
0.0,7.0,2.5,20.0,AAV2,ELU,AAVA3,1.5687335811828997,8.652009503348994,48.10772565128132,26.9184763508719,1.0692192218145116,6.548924698794931
0.0,7.0,2.5,25.0,AAV2,ELU,AAVA3,2.174898179435462,6.905652601068428,20.895371834837803,46.24777378454357,12.467342317192129,6.867015781482574
0.0,7.0,2.5,10.0,AAV2,ELU,AAVA3,1.2668175038189722,6.640498536929207,47.22525458516865,44.2950222898045,12.243658273267313,7.248385706831278
0.0,7.0,2.5,30.0,AAV2,ELU,AAVA3,1.0,5.0,25.909111354083365,50.0,1.0,5.0
0.0,7.0,2.5,20.0,AAV2,ELU,AAVA3,5.307814857756103,8.938260545774384,38.49178389125597,21.53224980839365,14.72316750360719,7.237860594635512
0.0,7.0,2.5,20.0,AAV2,ELU,AAVA3,5.613349207327479,5.202613206322058,24.554650857673117,45.84633232648614,4.529780542398601,6.4919889390542895
0.0,7.0,2.5,20.0,AAV2,ELU,AAVA3,3.715432122349739,5.863968044519424,29.69738039565273,42.16962130446918,3.353853367269039,7.111121762543917
0.0,7.0,2.5,30.0,AAV2,ELU,AAVA3,2.548210491755905,5.206305212985894,28.924956666956955,44.682437763487826,1.8054370627159102,6.135601162980178
0.0,7.0,2.5,5.0,AAV2,ELU,AAVA3,5.993788639955262,8.424133518858262,46.81672854763971,40.993188007949854,14.885366992055156,7.735680907457666
0.0,7.0,2.5,25.0,AAV2,ELU,AAVA3,5.1545949298888445,7.58315647393465,34.13476037574001,47.00890315938741,5.246947651728988,7.804773982614279
0.0,7.0,2.5,10.0,AAV2,ELU,AAVA3,5.179443769731177,8.395290410282316,47.87068413707903,36.66676348047216,14.316924162726053,7.429669894056548
0.0,7.0,2.5,30.0,AAV2,ELU,AAVA3,7.475946457670546,8.175068470574457,44.0683390082128,46.78532670122965,13.832318544169702,5.438223067273025
0.0,7.0,2.5,5.0,AAV2,ELU,AAVA3,6.464967997039904,8.430930825288254,43.39314186998269,49.284655208939036,1.7381368334513763,8.07843254519124
0.0,7.0,2.5,5.0,AAV2,ELU,AAVA3,3.681521536782384,6.31811460480094,33.637540825922045,30.32406266988255,1.036349531263113,8.780975706875324
0.0,7.0,2.5,5.0,AAV2,ELU,AAVA3,7.151575833559036,7.780656944960356,41.1609248904977,28.413134127203378,1.321650255471468,8.897413410246372
0.0,7.0,2.5,5.0,AAV2,ELU,AAVA3,1.404636511579156,5.2077950574457645,24.57376642897725,45.168277785182,4.265158189460635,5.7151049710810184
0.0,7.0,2.5,5.0,AAV2,ELU,AAVA3,4.35459715500474,8.468943677842617,31.320441596256572,32.209822120610625,12.581367556005716,5.774276319891214
0.0,7.0,2.5,5.0,AAV2,ELU,AAVA3,4.393245767802,7.875013057142496,35.851596135273574,46.88140294654295,14.24390465579927,6.322348810732365
0.0,7.0,2.5,5.0,AAV2,ELU,AAVA3,4.670898828655481,5.460884764790535,28.919102786201982,23.76097726742737,14.088554557412863,8.45083686709404
0.0,7.0,2.5,5.0,AAV2,ELU,AAVA3,7.60987358354032,5.019587829709053,47.979314441699536,47.19049576567486,9.104520296677947,5.543526638299227
0.0,7.0,2.5,5.0,AAV2,ELU,AAVA3,8.735491698607802,8.642165955156088,19.24888850594871,45.71955914571881,4.979734817519784,7.886378973722458
0.0,7.0,2.5,5.0,AAV2,ELU,AAVA3,12.40227920934558,6.479298479855061,44.911056206282225,23.098938481649384,4.194700604304671,5.5586727522313595
0.0,7.0,2.5,5.0,AAV2,ELU,AAVA3,14.542300639674067,8.188980240374804,42.37047459911555,29.437863930640745,7.271769594401121,5.85358639061451
0.0,7.0,2.5,5.0,AAV2,ELU,AAVA3,13.52573486045003,7.005231894552708,26.42494307360612,37.55267697819509,11.828472293913364,5.514291852712631
0.0,7.0,2.5,5.0,AAV2,ELU,AAVA3,7.080988997593522,8.334042675793171,28.195183302648367,26.399367441842333,1.44377251714468,8.904396392405033
0.0,7.0,2.5,5.0,AAV2,ELU,AAVA3,1.8145687468349934,6.912596356123686,22.4837586841546,44.14173198477365,10.536781869828701,7.906959615647793
0.0,7.0,2.5,5.0,AAV2,ELU,AAVA3,14.17852934077382,5.915691018104553,43.36898846481927,42.36668162071146,14.941048879176378,7.5452070236206055
