Scenario,Monte_Carlo_Run,Iteration,Num_Experiments,Total Capsids_Measurements,Total Capsids_IterBest,Total Capsids_CumBest
Sequential greedy logEI,3,3,40,"[45.083410808422514, 45.559738847824626, 44.56685268108738, 44.79237919304826, 44.482717110123446, 45.110148675934276, 45.548932654567, 44.912821087624174, 43.90142196604779, 44.51221591035739]",45.559738847824626,45.717887139384466
Sequential greedy logEI,4,0,10,"[36.71779306273012, 39.127660162072345, 33.23771085486848, 39.35284473101695, 34.77850328678064, 30.810496281044774, 36.6709893540089, 36.89082854169672, 32.27609025076438, 36.247890437746385]",39.35284473101695,39.35284473101695
Sequential greedy logEI,4,1,20,"[43.89798603721456, 39.07621735718685, 44.302448039534, 42.21364159701201, 44.71356678021494, 41.52456841870658, 41.08485698451068, 40.54170240377038, 42.225066309178345, 41.18675146561093]",44.71356678021494,44.71356678021494
Sequential greedy logEI,4,2,30,"[45.717887139384466, 45.43285343983169, 45.31685504965221, 44.5117889976934, 45.43285343983169, 44.302448039534, 43.616396909453016, 45.03182134998447, 44.017414908831356, 45.31685504965221]",45.717887139384466,45.717887139384466
Sequential greedy PI,0,0,10,"[32.426308742112106, 39.35376687716461, 35.29283629683259, 38.86169473566371, 35.49307100527602, 37.4924159977344, 34.22864426475941, 35.13740284621151, 32.43651341679104, 35.13743404216324]",39.35376687716461,39.35376687716461
Sequential greedy PI,0,1,20,"[43.68880141935697, 36.10728076897259, 40.48137124868495, 38.81634798409019, 36.902084243442374, 34.13421459002222, 37.416390961637234, 39.625199547813494, 36.50672577232225, 33.97286160230716]",43.68880141935697,43.68880141935697
Sequential greedy PI,0,2,30,"[44.00516384861605, 43.49316247192143, 38.26955693752065, 44.36757896813716, 43.474783924159674, 40.90846557147546, 44.548277705598004, 43.95825518969127, 41.49949027434233, 40.236738421701574]",44.548277705598004,44.548277705598004
Sequential greedy PI,0,3,40,"[44.29742046379495, 43.29717146061769, 39.120154100737516, 42.434903836952714, 39.60395603629722, 39.53333958154458, 44.868580330348124, 41.59209566605985, 34.377050923456814, 25.121639320574307]",44.868580330348124,44.868580330348124
Sequential greedy PI,0,4,50,"[44.35142420624062, 34.43767890746168, 38.29027336342613, 36.570378265672595, 38.53225663812367, 38.34449588035646, 31.72019477856536, 38.683702685821515, 37.438789363363085, 44.53922812972121]",44.53922812972121,44.868580330348124
Sequential greedy PI,1,0,10,"[31.5515988748236, 41.87344624168075, 32.24091908403274, 38.00290928433677, 34.24644809571603, 35.07009850345975, 41.864364390020064, 34.22656074457536, 37.422014326093944, 41.00091887578768]",41.87344624168075,41.87344624168075
Sequential greedy PI,2,0,10,"[32.676553074930666, 36.327497950016465, 36.33615717421937, 33.335302221921026, 36.97040225295855, 36.81139062202441, 31.5324618277967, 39.67338413187402, 31.49939607214297, 37.448148910701754]",39.67338413187402,39.67338413187402
Sequential greedy PI,2,1,20,"[39.01978484559234, 39.57520227655266, 36.37267318741943, 37.08367339060158, 39.666579126349404, 36.48339094926024, 35.3778711835494, 36.46491177233752, 36.718416559381545, 32.30649242750836]",39.666579126349404,39.67338413187402
Sequential greedy PI,2,2,30,"[42.033746416015866, 29.21858048710324, 35.20626817162084, 39.57843996085405, 39.28345996432932, 44.63412271924363, 37.47368878280325, 40.0241216586924, 29.098617017990488, 30.509793951204287]",44.63412271924363,44.63412271924363
Sequential greedy PI,3,0,10,"[33.95041702296797, 35.48866382542593, 40.381564005531914, 36.95473081075616, 34.468681345834305, 29.85264963613805, 33.2270138302751, 41.121038640725274, 30.730736676194034, 28.796522229910998]",41.121038640725274,41.121038640725274
Sequential greedy PI,3,1,20,"[36.86443251593738, 39.53407471981898, 39.53880793164976, 43.270619939330565, 35.817801099177075, 34.72246662957965, 38.38484400004498, 38.641031219694185, 40.00677550451372, 42.52142037883764]",43.270619939330565,43.270619939330565
